Genome_ID	num_systems	tool
NC_008027.1	4	DefenseFinder
NC_021505.1	6	DefenseFinder
NZ_AP017922.1	5	DefenseFinder
NZ_CP014205.2	9	DefenseFinder
NZ_CP019041.1	9	DefenseFinder
NZ_CP027658.1	4	DefenseFinder
NZ_CP035088.1	8	DefenseFinder
NZ_CP048014.1	4	DefenseFinder
NZ_CP070518.1	6	DefenseFinder
NZ_CP077083.1	4	DefenseFinder
NZ_CP077092.1	6	DefenseFinder
NZ_CP078045.1	13	DefenseFinder
NZ_CP091358.1	5	DefenseFinder
NZ_CP139270.1	6	DefenseFinder
NC_008027.1	10	PADLOC
NC_021505.1	11	PADLOC
NZ_AP017922.1	7	PADLOC
NZ_CP014205.2	14	PADLOC
NZ_CP019041.1	19	PADLOC
NZ_CP027658.1	6	PADLOC
NZ_CP035088.1	15	PADLOC
NZ_CP048014.1	4	PADLOC
NZ_CP070518.1	3	PADLOC
NZ_CP077083.1	8	PADLOC
NZ_CP077092.1	15	PADLOC
NZ_CP078045.1	19	PADLOC
NZ_CP091358.1	6	PADLOC
NZ_CP139270.1	5	PADLOC
