type	count	tool
RM	10	DefenseFinder
Septu	5	DefenseFinder
RosmerTA	4	DefenseFinder
AbiJ	3	DefenseFinder
Gabija	3	DefenseFinder
Retron	3	DefenseFinder
Shedu	3	DefenseFinder
Thoeris	3	DefenseFinder
dCTPdeaminase	3	DefenseFinder
CBASS	2	DefenseFinder
Cas	2	DefenseFinder
Lamassu-Fam	2	DefenseFinder
MazEF	2	DefenseFinder
NLR	2	DefenseFinder
PD-T7-3	2	DefenseFinder
PD-T7-5	2	DefenseFinder
Prometheus	2	DefenseFinder
PrrC	2	DefenseFinder
Wadjet	2	DefenseFinder
6A_MBL	1	DefenseFinder
AbiD	1	DefenseFinder
AbiE	1	DefenseFinder
AbiK	1	DefenseFinder
All_UG	1	DefenseFinder
Avs	1	DefenseFinder
Azaca	1	DefenseFinder
Belisama	1	DefenseFinder
BstA	1	DefenseFinder
CoCoNut	1	DefenseFinder
DS-1	1	DefenseFinder
DS-32	1	DefenseFinder
DarTG	1	DefenseFinder
FS_Sma	1	DefenseFinder
Gao_Mza	1	DefenseFinder
Gao_Qat	1	DefenseFinder
Hypnos	1	DefenseFinder
Old_exonuclease	1	DefenseFinder
Olokun	1	DefenseFinder
PD-Lambda-2	1	DefenseFinder
PD-T4-5	1	DefenseFinder
PD-T7-1	1	DefenseFinder
PsyrTA	1	DefenseFinder
RloC	1	DefenseFinder
SEFIR	1	DefenseFinder
Shango	1	DefenseFinder
Sirona	1	DefenseFinder
SoFIC	1	DefenseFinder
SspBCDE	1	DefenseFinder
TgvAB	1	DefenseFinder
VP1851	1	DefenseFinder
gcu233	1	DefenseFinder
